iter	RMSE
0	1.00197549
1	0.9953905819
2	0.9888456031
3	0.9824291373
4	0.9761143811
5	0.9701482952
6	0.9639092986
7	0.9577234698
8	0.9516072692
9	0.9455733813
10	0.9393947409
11	0.9334701161
12	0.9278029027
13	0.9223718434
14	0.9171094092
15	0.9115426878
16	0.9060019096
17	0.9006489239
18	0.8952796695
19	0.8900321241
20	0.885187102
21	0.8805295636
22	0.8752234571
23	0.8699738583
24	0.865114605
25	0.8600233944
26	0.8550677008
27	0.850006804
28	0.8454144277
29	0.8407239444
30	0.8360943344
31	0.8314389561
32	0.8268617212
33	0.8224963691
34	0.8178726218
35	0.8135105007
36	0.8092340012
37	0.8048211389
38	0.8006433322
39	0.7967059254
40	0.7926991135
41	0.788733603
42	0.7846707874
43	0.7807099904
44	0.7768746018
45	0.7729483717
46	0.769184538
47	0.7653682736
48	0.7615377878
49	0.7579619536
50	0.7544428253
51	0.7509390364
52	0.7474580591
53	0.7440068134
54	0.7404811113
55	0.7370042881
56	0.7336893802
57	0.7304390259
58	0.7273187731
59	0.7240679819
60	0.7209883467
61	0.717833831
62	0.7146480987
63	0.7116910616
64	0.7087417524
65	0.705842323
66	0.702924242
67	0.7002188813
68	0.6973973885
69	0.6946512352
70	0.6919410041
71	0.6892969199
72	0.6865835677
73	0.6841576426
74	0.68161694
75	0.6793582146
76	0.6768133504
77	0.6743394855
78	0.6718289901
79	0.669524748
80	0.6671749724
81	0.6649207083
82	0.6626309676
83	0.6604199061
84	0.6580959155
85	0.6558535189
86	0.6536311271
87	0.6516917223
88	0.6496765645
89	0.6476274414
90	0.6454781509
91	0.6433883789
92	0.6414800809
93	0.6396266744
94	0.6377752093
95	0.6358889971
96	0.6340898844
97	0.6321721834
98	0.6303887734
99	0.6285921078
100	0.6269158466
101	0.6252281
102	0.6234874404
103	0.6217606566
104	0.6201255623
105	0.6187021168
106	0.6171289622
107	0.615695477
108	0.6141138938
109	0.6124791367
110	0.6109410452
111	0.6095619632
112	0.6082412052
113	0.6067835231
114	0.6052389364
115	0.6038704289
116	0.6026386202
117	0.6011979121
118	0.5998962733
119	0.5986063069
120	0.5973209233
121	0.5959892834
122	0.5947614187
123	0.5936617516
124	0.5925442516
125	0.5915564891
126	0.5903697492
127	0.5891713339
128	0.5879518166
129	0.5869298155
130	0.5857844798
131	0.5846852523
132	0.5836134569
133	0.5825485791
134	0.5816238529
135	0.5805884934
136	0.5795539048
137	0.5786627294
138	0.5776778927
139	0.576726119
140	0.5757541442
