iter	Passed	Remaining
0	191	191506
1	225	112528
2	252	84071
3	277	69117
4	300	59895
5	328	54409
6	351	49836
7	374	46491
8	396	43656
9	421	41701
10	444	39968
11	465	38310
12	487	36974
13	509	35863
14	533	35023
15	556	34217
16	578	33466
17	600	32779
18	623	32203
19	647	31718
20	671	31294
21	684	30416
22	709	30122
23	729	29685
24	750	29286
25	774	28999
26	795	28671
27	821	28506
28	844	28260
29	868	28072
30	888	27783
31	912	27597
32	937	27482
33	957	27214
34	981	27056
35	1004	26898
36	1025	26703
37	1047	26517
38	1072	26416
39	1093	26237
40	1114	26067
41	1134	25871
42	1154	25702
43	1177	25594
44	1202	25526
45	1226	25444
46	1250	25348
47	1270	25194
48	1292	25084
49	1315	25003
50	1337	24885
51	1361	24823
52	1384	24745
53	1410	24707
54	1433	24633
55	1455	24535
56	1480	24497
57	1505	24444
58	1530	24407
59	1554	24356
60	1579	24318
61	1604	24270
62	1625	24177
63	1647	24095
64	1674	24091
65	1696	24007
66	1723	24007
67	1749	23984
68	1771	23901
69	1795	23859
70	1818	23791
71	1843	23756
72	1868	23729
73	1888	23628
74	1909	23548
75	1931	23480
76	1955	23435
77	1974	23339
78	1994	23257
79	2024	23283
80	2047	23226
81	2068	23161
82	2091	23109
83	2113	23045
84	2133	22968
85	2157	22926
86	2178	22865
87	2202	22827
88	2227	22798
89	2250	22757
90	2272	22696
91	2303	22737
92	2331	22735
93	2357	22723
94	2380	22673
95	2401	22614
96	2431	22634
97	2465	22695
98	2488	22646
99	2519	22674
100	2545	22659
101	2570	22627
102	2607	22705
103	2631	22667
104	2655	22631
105	2680	22605
106	2710	22623
107	2742	22648
108	2765	22607
109	2791	22587
110	2814	22538
111	2836	22486
112	2860	22452
113	2886	22436
114	2918	22460
115	2940	22407
116	2963	22368
117	2987	22333
118	3010	22286
119	3033	22245
120	3059	22222
121	3084	22197
122	3106	22151
123	3132	22130
124	3160	22121
125	3174	22017
126	3196	21975
127	3225	21972
128	3255	21980
129	3282	21966
130	3306	21931
131	3329	21894
132	3354	21869
133	3382	21861
134	3404	21815
135	3428	21781
136	3451	21743
137	3477	21721
138	3501	21689
139	3525	21657
140	3554	21653
141	3577	21614
142	3607	21617
143	3634	21606
144	3668	21633
145	3698	21633
146	3716	21563
147	3740	21531
148	3763	21492
149	3797	21521
150	3823	21499
151	3848	21468
152	3871	21432
153	3896	21405
154	3919	21366
155	3952	21382
156	3975	21347
157	4000	21319
158	4026	21296
159	4050	21263
160	4076	21242
161	4104	21233
162	4127	21193
163	4150	21159
164	4173	21122
165	4199	21098
166	4223	21068
167	4247	21034
168	4273	21015
169	4298	20987
170	4324	20963
171	4350	20942
172	4373	20908
173	4404	20909
174	4429	20879
175	4451	20838
176	4473	20799
177	4499	20778
178	4525	20756
179	4550	20728
180	4571	20686
181	4593	20645
182	4619	20622
183	4640	20579
184	4663	20543
185	4686	20511
186	4715	20500
187	4737	20462
188	4759	20422
189	4782	20390
190	4806	20357
191	4829	20322
192	4857	20312
193	4881	20281
194	4904	20245
195	4928	20216
196	4958	20209
197	4989	20208
198	5017	20196
199	5043	20172
200	5067	20145
201	5094	20126
202	5121	20106
203	5147	20084
204	5162	20020
205	5185	19986
206	5209	19955
207	5234	19931
208	5258	19900
209	5284	19881
210	5308	19850
211	5334	19828
212	5357	19794
213	5378	19756
214	5402	19724
215	5428	19702
216	5451	19670
217	5474	19638
218	5499	19611
219	5525	19590
220	5547	19555
221	5571	19525
222	5595	19495
223	5618	19465
224	5642	19434
225	5667	19411
226	5693	19387
227	5717	19358
228	5741	19329
229	5768	19311
230	5792	19284
231	5817	19258
232	5840	19226
233	5863	19194
234	5888	19170
235	5915	19149
236	5944	19137
237	5967	19106
238	5994	19086
239	6018	19059
240	6042	19029
241	6068	19007
242	6090	18974
243	6117	18952
244	6143	18931
245	6165	18897
246	6192	18879
247	6211	18834
248	6235	18807
249	6262	18786
250	6282	18746
251	6306	18719
252	6332	18698
253	6354	18662
254	6379	18638
255	6402	18606
256	6424	18574
257	6448	18546
258	6470	18511
259	6491	18476
260	6522	18466
261	6544	18433
262	6572	18418
263	6595	18387
264	6620	18362
265	6645	18338
266	6672	18317
267	6695	18286
268	6730	18290
269	6766	18293
270	6791	18268
271	6826	18271
272	6850	18242
273	6873	18211
274	6899	18189
275	6921	18155
276	6943	18122
277	6965	18090
278	6994	18075
279	7017	18045
280	7044	18024
281	7069	17998
282	7091	17966
283	7120	17951
284	7146	17927
285	7168	17896
286	7194	17872
287	7217	17842
288	7245	17824
289	7274	17809
290	7297	17780
291	7321	17752
292	7349	17732
293	7373	17706
294	7397	17677
295	7416	17640
296	7441	17613
297	7463	17582
298	7487	17553
299	7510	17524
300	7536	17500
301	7558	17469
302	7581	17439
303	7605	17412
304	7630	17387
305	7653	17357
306	7676	17329
307	7702	17305
308	7727	17279
309	7750	17250
310	7776	17227
311	7799	17198
312	7814	17152
313	7840	17128
314	7867	17108
315	7880	17057
316	7889	16997
317	7916	16977
318	7939	16948
319	7964	16925
320	7988	16898
321	8012	16871
322	8038	16847
323	8061	16818
324	8085	16793
325	8111	16770
326	8137	16747
327	8163	16725
328	8188	16700
329	8216	16681
330	8240	16654
331	8264	16629
332	8295	16615
333	8317	16585
334	8345	16565
335	8368	16537
336	8389	16505
337	8416	16483
338	8437	16452
339	8461	16424
340	8481	16390
341	8503	16360
342	8528	16335
343	8553	16310
344	8580	16290
345	8602	16260
346	8628	16238
347	8654	16214
348	8674	16180
349	8697	16151
350	8715	16115
